InputZoom,TRUE
InputCenter,2722000000.0
InputRange1,.1
InputRefImped1,50.0
InputRange2,.1
InputRefImped2,50.0
XStart,0.0
XDelta,5E-08
XDomain,2
XUnit,Sec
YUnit,V
IQ,FALSE
FreqValidMax1,2740554687.5
FreqValidMin1,2703445312.5
FreqValidMax2,2740554687.5
FreqValidMin2,2703445312.5
TimeString,Tue Dec 26 03:53:32.738 2006
Y1
0.0598061,-0.0395851
-0.43761,-0.328165
-0.700577,-0.188982
0.307046,0.00951783
-0.352929,-0.147796
0.508639,0.526454
0.866747,0.660796
0.798095,-0.302127
0.876562,-0.0434267
-1.63679,0.485848
0.188982,5.55112e-017
1.92896,0.152514
-0.802825,0.270839
-0.976266,-0.26508
-1.21594,0.311603
-0.870329,0.818624
0.142943,-0.0740584
-0.269999,-0.352172
0.967839,0.078279
0.813754,-0.218447
0.25446,-0.410287
0.84477,0.109599
0.107328,0.415555
-0.122741,0.0532556
-0.105459,-0.440919
0.140737,-0.508784
0.755929,-0.377964
0.523818,-0.160994
-0.0307893,0.15707
0.01621,-0.105703
0.675788,-0.427473
0.158011,0.113717
-0.0937437,0.244138
0.283619,-0.3271
-0.433316,-0.188982
-0.278078,0.111224
0.0975853,-0.0567572
-0.030137,0.0245305
0.313001,0.251691
0.505878,0.512952
0.117857,0.537261
-0.617851,-0.172422
-0.188982,-0.377964
0.32568,0.160913
-0.191594,0.222995
-0.327707,0.475905
0.0361928,0.600884
0.391826,-0.26764
0.112401,-0.130494
0.241031,0.472914
0.166055,-0.456243
-0.659764,-0.436817
-0.220522,0.61484
-0.267728,-0.126061
-0.531147,-0.572113
0.317125,0.270442
0.401491,-0.0529156
-0.28404,-0.339165
